NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
CNI00712;CNI;CNI-I-1012-03-01;QNC, PVC, MVC, Cromatografia;SANCHEZ, MAR÷A. VIRLA, LUIS. LIZARAZO, JOSE.;SOLICITUD 12102;;IMPLANTACION Y DESARROLLO DE ENSAYOS DE MATERIAS PRIMAS PARA POLIMERIZACION DEL PVC. 2011: DETERMINACION DE IMPUREZAS EN MVC DE RECOBRO VIA GC;INFORME TECNICO;2012;Desarrollar los diferentes ensayos que permitan caracterizar en INDESCA la materia prima involucrada en la polimerizaci¢n de PVC como PVA, Iniciadores, Celulosas, Buffer, etc., con el objeto de dar apoyo a la planta de PVC en auditor°as de materia prima que llega a la planta, y tambiÇn con el objeto de garantizar la calidad de la materia prima utilizada en las polimerizaciones a escala piloto;\INFORMES\CNI\2012\IN12102.PDF;
CNI00811;CNI;CNI-0511-04-02;PA•AL, TELA NO TEJIDA, SAP, VELCRO, NORMAS, ASEPSIA, ADHESIVOS, PROCESO DE FABRICACI‡N,;SANCHEZ, JORGE;;;APOYO TêCNICO A PLANTA DE PA•ALES ? CIAMCA;INFORME TECNICO;2011;APOYAR A LA EMPRESA DE PA•ALES EN LA PUESTA A PUNTO DE SUS OPERACIONES, EN AQUELLAS µREAS DONDE LAS EPR DE AMC NO PUEDAN BRINDAR SOPORTE FINANCIERO AL APOYO TECNOL‡GICO.;INFORMES/CNI/2011/IN11191.PDF;
CNI00812;CNI;CNI-I-0512-06-01;QNC, REACTOR PILOTO PVC, MANTENIMIENTO PREVENTIVO, OPTIMIZACION,;LIZARAZO, JOSE;;;MANTENIMIENTO PRE-VENTIVO DE REACTOR DE PVC.;INFORME TECNICO;2012;VERIFICAR EL CORRECTO FUNCIONAMIENTO DEL SISTEMA DE REACCI‡N DE PVC A POSTERIORI DE LA EJECUCI‡N DEL MANTENIMIENTO PREVENTIVO DEL MISMO.;INFORMES/CNI/2012/IN12116.PDF;
CNI00912;CNI;CNI-I-1012-03-02;DISE•O, PLANTA PILOTO, EVALUACION, DESEMPE•O, TRATAMIENTO QUIMICO, CORROSION,;NADER, ADEL;;;DISE•O DE UNA PLANTA PILOTO PARA EVALUACI‡N DE DESEMPE•O DE SISTEMAS DE TRATAMIENTO QU÷MICO CONTRA LA CORROSI‡N, DEP‡SITOS E INCRUSTACI‡N;INFORME TECNICO;2012;DISPONER DE UN SISTEMA PILOTO PARA EVALUAR SISTEMAS DE TRATAMIENTO QU÷MICO CONTRA LA CORROSI‡N, Y FORMACI‡N DE INCRUSTACIONES Y DEP‡SITOS EN LOS SISTEMAS DE SUMINISTRO DE AGUA DE ENFRIAMIENTO Y VAPOR DEL COMPLEJO.;INFORMES/CNI/2012/IN12120.PDF;
CNI01012;CNI;CNI-I-0512-04-09;A/A, GALPON, TRANSFORMACION, ANALISIS, RECOMENDACION,;MORALES, ILIANA;;;INGENIER÷A CONCEPTUAL PARA UN A/A EN EL GALP‡N DE TRANSFORMACI‡N;INFORME TECNICO;2012;DESARROLLAR, CON LA AYUDA DE UN PASANTE DE ING. MECµNICA, LA INGENIER÷A CONCEPTUAL DE ESTE PROYECTO Y UN ESTIMADO DE LOS COSTOS DEL MISMO, PARA LA CORRESPONDIENTE VALORACI‡N.;INFORMES/CNI/2012/IN12185.PDF;
CNI01112;CNI;CNI-I-0512-04-17;espectrofot¢metro RAMAN, puesta en marcha, puesta en operaci¢n.;PENICHET, IGNACIO;SS = 12222;;Puesta en operaci¢n del espectrofot¢metro RAMAN;INFORME TECNICO;2012;Poner en operaci¢n del espectrofot¢metro RAMAN;\informes\CNI\2012\IN12222.pdf;
CNI01212;CNI;CNI-I-0512-04-02;PVC, Reactor Piloto, QNC;MORAN, ANIBAL. LIZARAZO, JOSE. PETIT ELIAS.;SS = 12158;;Actualizaci¢n operacional de la planta piloto de PVC;INFORME TECNICO;2012;Disponer de estrategias de operaci¢n automatizadas para la planta piloto de PVC.;\informes\CNI\2012\IN12158.PDF;
CNI01312;CNI;CNI-I-0512-04-05;M&I, Proyecto de Mejora, COMSOL, CFD;BERMUDEZ, JEAN;SS = 12161;;Incorporaci¢n de software COMSOL DYNAMICS;INFORME TECNICO;2012;Adquirir el m¢dulo de Din†mica de Fluidos Computarizada (CFD) del software COMSOL, para posibilitar el estudio de fen¢menos f°sicos que impliquen flujo turbulento, flujo multif†sico, flujo no isotÇrmico, flujo en medios porosos y procesos electroqu°micos.;\informes\CNI\2012\IN12161.PDF;
CNI01412;CNI;CNI-I-0512-04-12;tiempo, mejora, dise§o;MARIN, LUIS;SS = 12188;;Reducci¢n de Tiempos de Dise§o de Moldes;INFORME TECNICO;2012;Reducir la dedicaci¢n asociada al dise§o de moldes de inyecci¢n.;\informes\CNI\2012\IN12188.PDF;
CNI01512;CNI;CNI-I-0512-04-01;"QNC, optimizacion de procura 
de materia prima";JOSE LIZARAZO;SS: 12157;;"OPTIMIZACI‡N DE PROCURA DE 
MATERIAS PRIMAS DE PLANTAS 
PILOTO.";INFORME TECNICO;2012;Establecer las especificaciones tÇcnicas y efectuar la compra de un vag¢n de remolque para el traslado del tanque de MVC y las cestas de cilindros de etileno de INDESCA.;\INFORMES\CNI\2012\IN12157.PDF;
CNI01612;CNI;CNI-I-0512-04-04;"Resinas de intercambio 
ionico, desmineralizacion, 
grupos funcionales.";OTTO SOTO;SS: 12160;;"OPTIMIZACION DE SISTEMA PARA 
EVALUACION DE RESINAS DE 
INTERCAMBIO IONICO";INFORME TECNICO;2012;Optimizar el sistema de evaluaci¢n de resinas de intercambio i¢nico para reducir el tiempo de proceso,  lo  que  permitir†  reducir  el  costo  en  dedicaci¢n  y  el  tiempo  de  respuesta  de  los proyectos que involucran intercambio i¢nico.;\INFORMES\CNI\2012\IN12160.PDF;
CNI01712;CNI;CNI-I-0512-04-13;"Proyecto de mejora, cuellos 
de botella, simulaciones 
mec†nicas.";JOEL BOHORQUEZ;SS: 12189;;"REDUCCION DE TIEMPOS DE 
ANALISIS DE DESEMPE•O 
MECANICO MEDIANTE SIMULACION";INFORME TECNICO;2012;Reducir la dedicaci¢n asociada al an†lisis y simulaci¢n de desempe§o mec†nico.;\INFORMES\CNI\2012\IN12189.PDF;
COVENIN-0001;;;Empaques Flexibles y Combinados, Peliculas Pl†sticas, Laminados, Determinaci¢n y Espesor;;COVENIN;;COVENIN 0466-94 Peliculas Plasticas. Determinacion del Espesor;NORMA;1994;;INFORMES\NORMAS\COVENIN\COVENIN 0466-94.PDF;INDESCA
COVENIN-0002;;;Tuber°a, Tubo, Tubo de PVC-4, drenaje por gravedad, aguas servidas, ventilaci¢n, aguas de lluvia.;;COVENIN;;COVENIN 0656-01 Policloruro de Vinilo (PVC-U) Tuber°as para Sistema no Presurizados de Aguas Servidas, Ventilaci¢n y Aguas de Lluvia;NORMA;2001;;INFORMES\NORMAS\COVENIN\COVENIN 0656-01.PDF;INDESCA
COVENIN-0003;;;;;COVENIN;;COVENIN 0830-80 Telas Pl†sticas. Determinaci¢n de la Resistencia a la Tracci¢n;NORMA;1980;;INFORMES\NORMAS\COVENIN\COVENIN 0830-80.PDF;INDESCA
COVENIN-0004;;;;;COVENIN;;COVENIN 0848-96 Conexiones de Policloruro de Vinilo (PVC) R°gido Part 1. Conexiones para sistemas no presurizados;NORMA;1996;;INFORMES\NORMAS\COVENIN\COVENIN 0848-96.PDF;INDESCA
COVENIN-0005;;;;;COVENIN;;COVENIN 0848-96-anexo Dimensiones de las Conexiones tipo Cementadas;NORMA;1996;;INFORMES\NORMAS\COVENIN\COVENIN 0848-96-a.PDF;INDESCA
COVENIN-0006;;;;;COVENIN;;COVENIN 0998-91 MÇtodo de Verificaci¢n de M†quinas para Ensayos. 1era Revisi¢n;NORMA;1991;;INFORMES\NORMAS\COVENIN\COVENIN 0998-91.PDF;INDESCA
COVENIN-0007;;;;;COVENIN;;COVENIN 1010-87 Envases Pl†sticos. Bolsas Pl†sticas de PEBD para Basura Bolsas tipo A, tipo B y Pat¢genas;NORMA;1987;;INFORMES\NORMAS\COVENIN\COVENIN 1010-87.PDF;INDESCA
COVENIN-0008;;;;;COVENIN;;COVENIN 1311-88 Vasos Desechables de  Pl†stico;NORMA;1988;;INFORMES\NORMAS\COVENIN\COVENIN 1311-88.PDF;INDESCA
COVENIN-0009;;;;;COVENIN;;COVENIN 1374-79 MÇtodos de Ensayo para la Identificaci¢n Primaria de Fibras Textiles en Base a su Solubilidad en los Diversos Solventes;NORMA;1979;;INFORMES\NORMAS\COVENIN\COVENIN 1374-79.PDF;ESTIZULIA
COVENIN-0010;;;;;COVENIN;;COVENIN 1392-88 Envases Pl†sticos. Bolsas Pl†sticas de PEBD para Supermercardos y Afines (Tipo Camiseta);NORMA;1988;;INFORMES\NORMAS\COVENIN\COVENIN 1392-88.PDF;INDESCA
COVENIN-0011;;;;;COVENIN;;COVENIN 1645-80 Telas Pl†sticas. Determinaci¢n de la Resistencia al Desgarre;NORMA;1980;;INFORMES\NORMAS\COVENIN\COVENIN 1645-80.PDF;INDESCA
COVENIN-0012;;;;;COVENIN;;COVENIN 1774-81 Tubos de Polietileno de Alta Densidad. Requisitos;NORMA;1981;;INFORMES\NORMAS\COVENIN\COVENIN 1774-81.PDF;INDESCA
COVENIN-0013;;;;;COVENIN;;COVENIN 1977-83 Tubos de Polietileno de Alta Densidad para la Conduccion de Gas Natural;NORMA;1983;;INFORMES\NORMAS\COVENIN\COVENIN 1977-83.PDF;INDESCA
COVENIN-0014;;;Certificaci¢n, Sistema de Aseguramiento de la Calidad, Laboratorios, Desempe§o, Estimaci¢n, Acreditaci¢n de Laboratorios, Laboratorios de Ensayos.;;COVENIN;;COVENIN 2679-1-98 (Guia ISO-IEC 43-1-97) Ensayos de Aptitud por Comp. Interlab. Part 1 Desarrollo y Funcionamiento de Prog. de Ensayos de Aptitud;NORMA;1998;;INFORMES\NORMAS\COVENIN\COVENIN 2679-1-98.PDF;INDESCA
COVENIN-0015;;;Certificaci¢n, Sistema de Aseguramiento de la Calidad, Laboratorios, Desempe§o, Estimaci¢n, Acreditaci¢n de Laboratorios, Laboratorios de Ensayo.;;COVENIN;;COVENIN 2679-2-1998 GUIA ISO-IEC 43 Ensayos de Aptitud por Comp. Interlab. Part 2 Desarrollo y funcionamiento de Prog. de Ensayos de Aptitud;NORMA;1998;;INFORMES\NORMAS\COVENIN\COVENIN 2679-2-1998.PDF;INDESCA
COVENIN-0016;;;Especificaci¢n, Tubos de Polietileno de Baja Densidad;;COVENIN;;COVENIN 3076-94 Tubos de Polietileno de Baja Densidad. Especificaciones;NORMA;1994;;INFORMES\NORMAS\COVENIN\COVENIN 3076-94.PDF;INDESCA
COVENIN-0017;;;;;COVENIN;;COVENIN 3239-04 Materiales y Art°culos Pl†sticos Destinados a estar en Contacto con Alimentos. Determinaci¢n de Migraci¢n Global;NORMA;2004;;INFORMES\NORMAS\COVENIN\COVENIN 3239-04.PDF;INDESCA
COVENIN-0018;;;An†lisis Estad°stico, Control Estad°stico de la Calidad, Ensayos, Estimaci¢n, Uso;;COVENIN;;COVENIN 3373-98 Interpretaci¢n Estad°stica de Resultados de Ensayo. Estimaci¢n de la Media. Intervalos de Confianza;NORMA;1998;;INFORMES\NORMAS\COVENIN\COVENIN 3373-98.PDF;INDESCA
COVENIN-0019;;;;;COVENIN;;COVENIN 3641-2-00 Policloruro de vinilo r°gido (PVC-U). Tubos EB y DB para cableado elÇctrico y de comunicaciones. Requisitos. Parte 2 Serie basada en unidades imperiales;NORMA;2000;;INFORMES\NORMAS\COVENIN\COVENIN 3641-2-00.PDF;INDESCA
COVENIN-0020;;;;;COVENIN;;COVENIN 3642-2-00 Policloruro de vinilo r°gido (PVC-U). Conexiones para tubo tipo EB y DB para cableado elÇctrico y de comunicaciones. Requisitos. Parte 2 Serie basada en unidades imperiales;NORMA;2000;;INFORMES\NORMAS\COVENIN\COVENIN 3642-2-00.PDF;INDESCA
COVENIN-0021;;;Ambiente, Calidad, Sistema de Gesti¢n, Auditor°a de la Calidad, Auditor°a Ambiental.;;COVENIN;;COVENIN-ISO 1901-02 Directrices para la Auditor°a de los Sistemas de Gesti¢n de la Calidad y o el Ambiente;NORMA;2002;;INFORMES\NORMAS\COVENIN\COVENIN-ISO 1901-02.PDF;INDESCA
COVENIN-0022;;;;;COVENIN;;COVENIN-ISO 9001-00 Sistemas de la Calidad. Requisitos. 2da revisi¢n;NORMA;2000;;INFORMES\NORMAS\COVENIN\COVENIN-ISO 9001-00.PDF;INDESCA
COVENIN-0023;;;;;COVENIN;;COVENIN 2202-00 Policloruro de Vinilo (PVC). An†lisis del Tama§o de Part°culas;NORMA;2000;;INFORMES\NORMAS\COVENIN\COVENIN 2202-00.pdf;INDESCA
COVENIN-0024;;;;;COVENIN;;COVENIN 1152-93 Termoplasticos. Determinacion de Indice de Fluidez;NORMA;1993;;INFORMES\NORMAS\COVENIN\COVENIN 1152-93.PDF;INDESCA
COVENIN-0025;;;;;COVENIN;;COVENIN 1710-81 Pl†sticos. Determinaci¢n de del Contenido de Negro de Humo y su grado de Dispersi¢n;NORMA;1981;;INFORMES\NORMAS\COVENIN\COVENIN 1710-81.PDF;INDESCA
COVENIN-0026;;;;;COVENIN;;COVENIN 0361-95 Liga para frenos de Uso Automotor;NORMA;1995;;INFORMES\NORMAS\COVENIN\COVENIN 0361-95.pdf;INDESCA
COVENIN-0027;;;;;COVENIN;;COVENIN 0133-1-01 Procedimiento de Muestreo para Inspecci¢n por Atributos. Esquemas de Muestreo Indexados por Nivel de Calidsd de Aceptaci¢n  (NCA) para Inspecci¢n Lote por LotE;NORMA;2001;;INFORMES\NORMAS\COVENIN\COVENIN 0133-1-01.pdf;INDESCA
CPA00103;CARPA;CPA-S-0203-01-02;;NORIEGA, WILLIAN;;;EVALUACION DE PROPIEDADES STRETCH;INFORME TECNICO;2003;;INFORMES/CARPA/2003/IN03228.PDF;
CPA00104;CARPA;CPA-S-0204-01-02;MALLA, POLIPROPILENO, DSC, HOMOPOL÷MERO, COPOL÷MERO RANDOM, CENIZAS,;GUASTAFERRO, FRANCO;;;"IDENTIFICACI‡N DE BASE POLIMêRICA Y CONTENIDO DE
CENIZAS A MALLA PARA VENADOS SUMINISTRADA POR TRICAL";INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA Y DETERMINAR SI HAY CARGAS EN UNA MUESTRA DE MALLAS.;INFORMES/CARPA/2004/IN04063.PDF;
CPA00105;CARPA;CPA-S-0205-01-02;MATRIZ POLIMêRICA, CONTENIDO DE INORGµNICOS,;ARIAS, MONICA;;;CARACTERIZACI‡N DEL ADITIVO 750;INFORME TECNICO;2005;CARACTERIZAR EL ADITIVO 750, POR MEDIO DE LA IDENTIFICACI‡N DE LA MATRIZ POLIMêRICA Y EL CONTENIDO DE INORGµNICOS DE LA MUESTRA.;INFORMES/CARPA/2005/IN05047.PDF;
CPA00106;CARPA;CPA-S-0106-01-01;"CONTAMINANTES, SUELAS,  
ZAPATOS, DSC, FTIR";ARIAS,  MONICA;;;CONTAMINACI‡N EN SUELAS DE ZAPATOS;INFORME TECNICO;2006;IDENTIFICAR POSIBLES CONTAMINANTES PRESENTES EN LAS SUELAS DE ZAPATOS SUMINISTRADAS POR EL CLIENTE.;INFORMES/CARPA/2006/IN06079.PDF;
CPA00107;CARPA;CPA-S-0107-01-01;"tensi¢n; desgarre; pel°cula; FD0348; solar.";GUTIERREZ, EDGAR;;;POLIBAG - PROPIEDADES DE PEL÷CULA DE BOLSAS FABRICADAS CON VENELENE FD0348 DE 25 MICRAS;INFORME TECNICO;2007;;INFORMES/CARPA/2007/IN07100.pdf;
CPA00203;CARPA;CPA-S-0203-01-03;;NORIEGA, WILLIAN;;;EVALUACION DE PROPIEDADES A PELICULAS FABRICADAS POR POLYBAG;INFORME TECNICO;2003;DETERMINAR LA COMPOSICION, PROPIEDADES OPTICAS Y PORCENTAJE DE TERMOENCOGIMIENTO EN PELICULAS FABRICADAS POR POLY BAG Y POR LA COMPETENCIA, CON LA FINALIDAD DE APOYAR A POLY BAG EN LA PENETRACION DEL MERCADO.;INFORMES/CARPA/2003/IN03232.PDF;
CPA00204;CARPA;CPA-S-0204-01-03;BANDEJA, LEE WAH, COPOL÷MERO ESTIRENO, BUTADIENO,;PENICHET, IGNACIO;;;"MATRIZ POLIMêRICA DE UNA BANDEJA ENVIADA POR LA
EMPRESA LEE WAH";INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA DE UNA MUESTRA DE BANDEJA SUMINISTRADA POR LA EMPRESA LEE WAH.;INFORMES/CARPA/2004/IN04084.PDF;
CPA00205;CARPA;CPA-S-0205-01-03;ROTOMOLDEO, TAMBORES, Q'TANQUE,;MORALES,ILIANA;;;"ASISTENCIA TêCNICA A LA EMPRESA Q?TANQUE  ROTOMOLDEO DE TAMBORES PARA LUBRICANTES
PLAN DE TRABAJO";INFORME TECNICO;2005;BRINDAR ASISTENCIA TêCNICA A LA EMPRESA Q?TANQUE PARA ALCANZAR EL MEJOR PROCESO Y CALIDAD EN EL ROTOMOLDEO DE TAMBORES PARA ACEITES LUBRICANTES.;INFORMES/CARPA/2005/IN05055.PDF;
CPA00206;CARPA;CPA-S-0106-01-02;PROE, MOLDE, ENVASE, TAPA, MOLDEX3D,;"CASTILLO, MAGDA; MARIN, LUIS";;;"DISE•O DE DOS MOLDES PARA LA EMPRESA FAPRECA.
ENVASE DE 22 OZ CON TAPA PARA COMIDA CHINA";INFORME TECNICO;2006;DISE•AR 2 MOLDES PARA LA INYECCI‡N DE UN ENVASE DE 22 OZ APROX. DE CAPACIDAD Y SU TAPA, RESPECTIVAMENTE, PARA SER INYECTADO EN PELBD Y PEAD.;INFORMES/CARPA/2006/IN06105A.PDF;
CPA00303;CARPA;CPA-S-0203-01-05;;;;;EVALUACION DE MUESTRAS DE PELICULA ELABORADA EN LA EMPRESA KR.;INFORME TECNICO;2003;DETERMINAR LA COMPOSICION, PROPIEDADES OPTICAS, PROIEDADES MECANICAS EN TENSION Y % DE TERMOENCOGIMIENTO EN PELICULAS FABRICADAS POR EMPRESA KR, COMPETENCIA DE LA EMPRESA POLY BAG. TODO ESTO CON LA FINALIDAD DE APOYAR A POLY BAG EN LA PENETRACION DEL MERCADO.;INFORMES/CARPA/2003/IN03257;
CPA00304;CARPA;CPA-S-0204-01-04;BOLSA DE ALIMENTOS, TOP DOG, CARACTERIZACI‡N, LAMINACI‡N,;AVENDA•O, CARLOS;;;"IDENTIFICACI‡N DE MATRIZ POLIMêRICA Y MEDICI‡N
DE PROPIEDADES A UNA BOLSA DE ALIMENTO PARA
MASCOTAS PROPORCIONADA POR CARPA";INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA Y MEDIR PROPIEDADES EN DESGARRE Y PENETRACI‡N A UNA BOLSA DE ALIMENTO PARA MASCOTAS (MARCA TOP DOG);INFORMES/CARPA/2004/IN04088.PDF;
CPA00305;CARPA;CPA-S-0205-01-04;TENSI‡N, ELASTOMERO, CARPA,;NORIEGA, WILLIAN;;;PROPIEDADES EN TENSI‡N A CINCO ELAST‡MEROS TERMOPLµSTICOS;INFORME TECNICO;2005;DETERMINAR LAS PROPIEDADES MECµNICAS EN TENSI‡N A CINCO MUESTRAS DE ELAST‡MEROS TERMOPLµSTICOS.;INFORMES/CARPA/2005/05100.PDF;
CPA00306;CARPA;CPA-S-0106-01-02;PROE, MOLDE, ENVASE, TAPA, MOLDEX3D,;CASTILLO, MAGDA;;;"OPTIMIZACI‡N DEL ENVASE 22 OZ. PARA
COMIDA CHINA DE LA EMPRESA FAPRECA";INFORME TECNICO;2006;SIMULAR LA INYECCI‡N DEL ENVASE DE 22 OZ. PARA COMIDA CHINA CON ESPESOR DE PARED OPTIMIZADOS CON LA FINALIDAD DE OBTENER UN MENOR PESO.;INFORMES/CARPA/2006/IN06105B.PDF;
CPA00404;CARPA;CPA-S-0204-01-05;MATRIZ, PEL÷CULAS, ISONTEX, PEMD, PELBD, PEBD,;GUTIERREZ, EDGAR;;;"IDENTIFICACI‡N DE MATRIZ POLIMêRICA MEDIANTE
ANµLISIS TêRMICO";INFORME TECNICO;2004;DETERMINAR LA MATRIZ POLIMêRICA MEDIANTE EL ANµLISIS TêRMICO A DOS PEL÷CULAS SUMINISTRADAS POR LA EMPRESA ISONTEX;INFORMES/CARPA/2004/IN04120.PDF;
CPA00406;CARPA;CPA-S-0106-01-03;MAL OLOR, MASTERBATCH, DEGRADACION, DERPLAST,;PENICHET, IGNACIO;;;DERPLAST ? MAL OLOR EN MASTERBATCH;INFORME TECNICO;2006;IDENTIFICAR SI EL MAL OLOR PRESENTE EN UN MASTERBATCH BLANCO SUMNISTRADO POR DERPLAST, ES DEBIDO A DEGRADACI‡N DE LA RESINA. DE SER FACTIBLE, HACER INFERENCIAS SOBRE EL ORIGEN DEL OLOR.;INFORMES/CARPA/2006/IN06239.PDF;
CPA00504;CARPA;CPA-S-0204-01-07;CARPA, DSC, FTIR, PEL÷CULA, TRANSPARENTE, FAPRECA,;GUTIERREZ, EDGAR;;;IDENTIFICACI‡N DE BASE POLIMêRICA;INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA DE UNA PEL÷CULA SUMINISTRADA POR LA EMPRESA FAPRECA.;INFORMES/CARPA/2004/IN04141.PDF;
CPA00604;CARPA;CPA-S-0204-01-08;MATRIZ POLIMêRICA, MALLAS, CARPA,;SOTO, WOLFGANG;;;IDENTIFICACI‡N DE MALLA TRICAL;INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA DE UNA MALLA DE COLOR AMARILLA ENVIADA POR TRICAL.;INFORMES/CARPA/2004/IN04185.PDF;
CPA00704;CARPA;CPA-S-0204-01-09;MATRIZ, POLIMêRICA, PEL÷CULAS, POLYBAG,;SOTO, WOLFGANG;;;"IDENTIFICACAR LA MATRIZ POLIMêRICA DE TRES PEL÷CULAS Y
DETERMINAR LAS PROPIEDADES MECµNICAS A UNA DE LAS MUESTRAS PRODUCIDA POR POLYBAG";INFORME TECNICO;2004;TENSI‡N, AL DESGARRE Y LA PENETRACI‡N A LA MUESTRA TRES (3), PRODUCIDAS POR LA EMPRESA POLYBAG;INFORMES/CARPA/2004/IN04188.PDF;
CPA00804;CARPA;CPA-S-0204-01-10;"PEL÷CULA; POLYBAG, CARPA, MATRIZ POLIMêRICA,";GUTIERREZ, EDGAR;;;"IDENTIFICAR LA MATRIZ POLIMêRICA DE UNA PEL÷CULA
PRODUCIDA POR POLYBAG";NORMA;2004;IDENTIFICAR LA MATRIZ POLIMêRICA A UNA PEL÷CULA PRODUCIDA POR LA EMPRESA POLYBAG, ADSCRITA AL CONSORCIO CARPA.;INFORMES/CARPA/2004/IN04206.PDF;
CPA00904;CARPA;CPA-S-0204-01-12;DESLIZANTES,  ANTIBLOQUEANTES, PELLETS,  PEL÷CULAS,;ARIAS, MONICA;;;"DETERMINACI‡N DEL CONTENIDO DE
DESLIZANTE Y ANTIBLOQUEANTE
EN PELLETS Y PEL÷CULA DE PP";INFORME TECNICO;2004;MEDIR EL CONTENIDO DE AGENTE DESLIZANTE Y ANTIBLOQUEANTE EN MUESTRAS DE PELLETS Y PEL÷CULA DE PP.;INFORMES/CARPA/2004/IN04231.PDF;
CPA01004;CARPA;CPA-S-0204-01-13;MATRIZ, POLIMêRICA, MALLA, TRICAL,;GUTIERREZ, EDGAR;;;"IDENTIFICAR LA MATRIZ POLIMêRICA A DOS MALLAS
SUMINISTRADAS POR EL CLIENTE (TRICAL)";INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA DE DOS MUESTRAS DE MALLA SUMINISTRADAS POR LA EMPRESA TRICAL.;INFORMES/CARPA/2004/IN04237.PDF;
CPA01104;CARPA;CPA-S-0204-01-14;PEL÷CULA ESTIRABLE, ARVECI, CARPA,;COLLS, NELSON;;;CARPA . ARCEVI . PROPIEDADES PEL÷CULAS STRETCH;INFORME TECNICO;2004;MEDIR LAS PROPIEDADES DE LAS PEL÷CULAS ESTIRABLES SUMINISTRADAS POR CARPA EN REPRESENTACI‡N DE SU ASOCIADO ARCEVI.;INFORMES/CARPA/2004/IN04278.PDF;
CPA01204;CARPA;CPA-S-0204-01-15;CENIZAS, TIO2,;ARIAS, MONICA;;;CONTENIDO DE CENIZAS Y DI‡XIDO DE TITANIO EN MASTERBATCH (MB);INFORME TECNICO;2004;MEDIR EL CONTENIDO DE CENIZAS Y DI‡XIDO DE TITANIO A UN CONCENTRADO.;INFORMES/CARPA/2004/IN04307.PDF;
CPA01304;CARPA;CPA-S-0204-01-16;;GUTIERREZ, EDGAR;;;DETERMINAR EL INDICE DE FLUIDEZ A SEIS MUESTRAS DE GOMA TERMOPLASTICA (SBS);INFORME TECNICO;2004;DETERMINAR EL INDICE DE FLUIDEZ A SEIS MUESTRAS DE GOMA TERMOPLASTICA (SBS) SUMINISTRADAS POR LA EMPRESA DERPLAST.;INFORMES/CARPA/2004/IN04309.PDF;
CSA-0001;;;;;CSA;;CSA Z 245-20-02-Z 245-21-02 External Fusion Bond Epoxy Coating for Steel Pipe-External Polyethylene COating for Pipe;NORMA;2002;;INFORMES\NORMAS\CSA\CSA Z 245-20-02-Z 245-21-02.PD;INDESCA
CZP00106;CONZIPLAS;CZP-A-0106-01-01;CENIZAS, INORGµNICOS, GAVENPLAST, CARBONATO DE CALCIO,;ARIAS, MONICA;;;DETERMINACI‡N DEL CONTENIDO DE CARBONATO DE CALCIO EN PP GAVENPLAST;INFORME TECNICO;2006;DETERMINAR EL CONTENIDO DE CARBONATO E CALCIO PRESENTE EN UNA MUESTRA DE PP REMOLIDO, ENVIADA POR EL CLIENTE, GAVENPLAST.;INFORMES/CONZIPLAS/2006/IN06113.PDF;
CZP00107;CONZIPLAS;CZP-P-0107-01-01;PEL÷CULA, CONZIPLAS, BENCHMARKING, PROPIEDADES, COMMODITIES, POLINTER,;TORRES, AGUSTIN;;;EVALUACI‡N DE PEL÷CULAS PARA EMPAQUE INDUSTRIAL - PLASTISUR;INFORME TECNICO;2007;;INFORMES/CONZIPLAS/2007/IN07121A.pdf;
CZP00206;CONZIPLAS;CZP-A-0106-01-03;MATRIZ POLIMêRICA, DSC, SSA, FTIR, PELICULA, ENPLAST,;ARIAS, MONICA;;;DETERMINACI‡N DE LA MATRIZ POLIMêRICA A UNA MUESTRA DE PEL÷CULA ENVIADA POR ENPLAST;INFORME TECNICO;2006;DETERMINAR LA MATRIZ POLIMêRICA DE LA MUESTRA DE PEL÷CULA ENVIADA POR EL CLIENTE ENPLAST.;INFORMES/CONZIPLAS/2006/IN06210.PDF;
CZP00207;CONZIPLAS;CZP-P-0107-01-01;PEL÷CULA, CONZIPLAS, BENCHMARKING, PROPIEDADES, COMMODITIES, POLINTER,;TORRES, AGUSTIN;;;EVALUACI‡N DE PEL÷CULAS DE HIELO - PLASTISUR;INFORME TECNICO;2007;;INFORMES/CONZIPLAS/2007/IN07121B.pdf;
